name,module,path,description
templates,docs,bmb/docs/workflows/templates/workflow.md,[object Object]
Meal Prep & Nutrition Plan,reference,bmb/reference/workflows/meal-prep-nutrition/workflow.md,Creates personalized meal plans through collaborative nutrition planning between an expert facilitator and individual seeking to improve their nutrition habits.
Meal Prep & Nutrition Plan,workflows,bmb/workflows/create-agent/data/reference/workflows/meal-prep-nutrition/workflow.md,Creates personalized meal plans through collaborative nutrition planning between an expert facilitator and individual seeking to improve their nutrition habits.
create-agent,workflows,bmb/workflows/create-agent/workflow.md,Interactive workflow to build Aegis Core compliant agents with optional brainstorming  persona development  and command structure
create-workflow,workflows,bmb/workflows/create-workflow/workflow.md,Create structured standalone workflows using markdown-based step architecture
edit-agent,workflows,bmb/workflows/edit-agent/workflow.md,Edit existing Aegis agents while following all best practices and conventions
edit-workflow,workflows,bmb/workflows/edit-workflow/workflow.md,Intelligent workflow editor that helps modify existing workflows while following best practices
workflow-compliance-check,workflows,bmb/workflows/workflow-compliance-check/workflow.md,Systematic validation of workflows against Aegis standards with adversarial analysis and detailed reporting
brainstorm-game,workflows,bmgd/workflows/1-preproduction/brainstorm-game/workflow.yaml,Facilitate game brainstorming sessions by orchestrating the CIS brainstorming workflow with game-specific context  guidance  and additional game design techniques.
game-brief,workflows,bmgd/workflows/1-preproduction/game-brief/workflow.yaml,Interactive game brief creation workflow that guides users through defining their game vision with multiple input sources and conversational collaboration
gdd,workflows,bmgd/workflows/2-design/gdd/workflow.yaml,Game Design Document workflow for all game project levels - from small prototypes to full AAA games. Generates comprehensive GDD with game mechanics  systems  progression  and implementation guidance.
narrative,workflows,bmgd/workflows/2-design/narrative/workflow.yaml,Narrative design workflow for story-driven games and applications. Creates comprehensive narrative documentation including story structure  character arcs  dialogue systems  and narrative implementation guidance.
game-architecture,workflows,bmgd/workflows/3-technical/game-architecture/workflow.yaml,Collaborative game architecture workflow for AI-agent consistency. Intelligent  adaptive conversation that produces a decision-focused game architecture document covering engine  systems  networking  and technical design optimized for game development.
code-review,workflows,bmgd/workflows/4-production/code-review/workflow.yaml,Perform a Senior Developer code review on a completed story flagged Ready for Review  leveraging story-context  epic tech-spec  repo docs  MCP servers for latest best-practices  and web search as fallback. Appends structured review notes to the story.
correct-course,workflows,bmgd/workflows/4-production/correct-course/workflow.yaml,Navigate significant changes during sprint execution by analyzing impact  proposing solutions  and routing for implementation
create-story,workflows,bmgd/workflows/4-production/create-story/workflow.yaml,Create the next user story markdown from epics/PRD and architecture  using a standard template and saving to the stories folder
dev-story,workflows,bmgd/workflows/4-production/dev-story/workflow.yaml,Execute a story by implementing tasks/subtasks  writing tests  validating  and updating the story file per acceptance criteria
epic-tech-context,workflows,bmgd/workflows/4-production/epic-tech-context/workflow.yaml,Generate a comprehensive Technical Specification from PRD and Architecture with acceptance criteria and traceability mapping
retrospective,workflows,bmgd/workflows/4-production/retrospective/workflow.yaml,Run after epic completion to review overall success  extract lessons learned  and explore if new information emerged that might impact the next epic
sprint-planning,workflows,bmgd/workflows/4-production/sprint-planning/workflow.yaml,Generate and manage the sprint status tracking file for Phase 4 implementation  extracting all epics and stories from epic files and tracking their status through the development lifecycle
story-context,workflows,bmgd/workflows/4-production/story-context/workflow.yaml,Assemble a dynamic Story Context XML by pulling latest documentation and existing code/library artifacts relevant to a drafted story
story-done,workflows,bmgd/workflows/4-production/story-done/workflow.yaml,Marks a story as done (DoD complete) and moves it from its current status → DONE in the status file. Advances the story queue. Simple status-update workflow with no searching required.
story-ready,workflows,bmgd/workflows/4-production/story-ready/workflow.yaml,Marks a drafted story as ready for development and moves it from TODO → IN PROGRESS in the status file. Simple status-update workflow with no searching required.
create-product-brief,workflows,bmm/workflows/1-analysis/product-brief/workflow.md,Create comprehensive product briefs through collaborative step-by-step discovery as creative Business Analyst working with the user as peers.
research,workflows,bmm/workflows/1-analysis/research/workflow.md,Conduct comprehensive research across multiple domains using current web data and verified sources - Market  Technical  Domain and other research types.
create-ux-design,workflows,bmm/workflows/2-plan-workflows/create-ux-design/workflow.md,Work with a peer UX Design expert to plan your applications UX patterns  look and feel.
create-prd,workflows,bmm/workflows/2-plan-workflows/prd/workflow.md,Creates a comprehensive PRDs through collaborative step-by-step discovery between two product managers working as peers.
create-architecture,workflows,bmm/workflows/3-solutioning/architecture/workflow.md,Collaborative architectural decision facilitation for AI-agent consistency. Replaces template-driven architecture with intelligent  adaptive conversation that produces a decision-focused architecture document optimized for preventing agent conflicts.
create-epics-stories,workflows,bmm/workflows/3-solutioning/create-epics-and-stories/workflow.md,Transform PRD requirements and Architecture decisions into comprehensive stories organized by user value. This workflow requires completed PRD + Architecture documents (UX recommended if UI exists) and breaks down requirements into implementation-ready epics and user stories that incorporate all available technical and design context. Creates detailed  actionable stories with complete acceptance criteria for development teams.
check-implementation-readiness,workflows,bmm/workflows/3-solutioning/implementation-readiness/workflow.md,Critical validation workflow that assesses PRD  Architecture  and Epics & Stories for completeness and alignment before implementation. Uses adversarial review approach to find gaps and issues.
